Universidade / Instituto,Curso,Faculdade / Unidade Orgânica
UNIVERSIDADE LUSÍADA DE ANGOLA ,Gestão de Recursos Humanos,Faculdade de Ciências Económicas
INSTITUTO SUPERIOR POLITÉCNICO LUSÍADA DE CABINDA,Economia,INSTITUTO SUPERIOR POLITÉCNICO LUSÍADA DE CABINDA
INSTITUTO SUPERIOR POLITÉCNICO DE CABINDA,Direito,INSTITUTO SUPERIOR POLITÉCNICO DE CABINDA
UNIVERSIDADE DE LUANDA,Gestão de Empresas,Faculdade de Economia e Gestão
INSTITUTO SUPERIOR POLITÉCNICO LUSÍADA DO HUAMBO,Contabilidade e Finanças,INSTITUTO SUPERIOR POLITÉCNICO LUSÍADA DO HUAMBO
INSTITUTO SUPERIOR POLITÉCNICO LUSÍADA DE BENGUELA,Engenharia Informática,INSTITUTO SUPERIOR POLITÉCNICO LUSÍADA DE BENGUELA
UNIVERSIDADE METODISTA DE ANGOLA,S/I,Faculdade de Ciências Sociais e Humanas
UNIVERSIDADE INDEPENDENTE DE ANGOLA,Arquitectura ,Faculdade de Engenharia e Arquitectura
UNIVERSIDADE JEAN PIAGET DE ANGOLA,Relações Internacionais,Faculdade de Ciências Sociais e Humanas
ESCOLA SUPERIOR DE SAÚDE CASTELO,Gestão e Contabilidade,ESCOLA SUPERIOR DE SAÚDE CASTELO
INSTITUTO SUPERIOR POLITÉCNICO METROPOLITANO DE ANGOLA,Gestão Logística e Transporte,INSTITUTO SUPERIOR POLITÉCNICO METROPOLITANO DE ANGOLA
INSTITUTO SUPERIOR POLITÉCNICO DE TECNOLOGIAS E CIÊNCIAS,Engenharia de Telecomunicações,INSTITUTO SUPERIOR POLITÉCNICO DE TECNOLOGIAS E CIÊNCIAS
INSTITUTO SUPERIOR POLITÉCNICO DE PORTO AMBOIM,Engenharia Mecatrónica,INSTITUTO SUPERIOR POLITÉCNICO DE PORTO AMBOIM
INSTITUTO SUPERIOR POLITÉCNICO DE CIÊNCIAS E TECNOLOGIA,Gestão e Administração de Empresas,INSTITUTO SUPERIOR POLITÉCNICO DE CIÊNCIAS E TECNOLOGIA
INSTITUTO SUPERIOR POLITÉCNICO INDEPENDENTE,Língua Portuguesa e Comunicação,INSTITUTO SUPERIOR POLITÉCNICO INDEPENDENTE
 INSTITUTO SUPERIOR DE ADMINISTRAÇÃO E FINANÇAS,Psicologia, INSTITUTO SUPERIOR DE ADMINISTRAÇÃO E FINANÇAS
UNIVERSIDADE TÉCNICA DE ANGOLA,Engenharia Civil,Faculdade de Engenharia
INSTITUTO SUPERIOR POLITÉCNICO INTERNACIONAL DE ANGOLA,Engenharia Industrial e Sistemas Eléctricos,INSTITUTO SUPERIOR POLITÉCNICO INTERNACIONAL DE ANGOLA
,Fisioterapia,—
UNIVERSIDADE GREGÓRIO SEMEDO,Gestão Ambiental,Faculdade de Ciências Sociais e Humanas
INSTITUTO SUPERIOR POLITÉCNICO GREGÓRIO SEMEDO,Arquitectura e Urbaniismo,INSTITUTO SUPERIOR POLITÉCNICO GREGÓRIO SEMEDO
UNIVERSIDADE DE BELAS,Enfermagem,Faculdade de Ciências da Saúde
UNIVERSIDADE ÓSCAR RIBAS,Ciências da Educação,Faculdade de Ciências da Educação
UNIVERSIDADE  CATÓLICA DE ANGOLA, Informática de Gestão de Empresas,—
INSTITUTO SUPERIOR CATÓLICA DE BENGUELA ,Finanças e Contabilidade,INSTITUTO SUPERIOR CATÓLICA DE BENGUELA 
INSTITUTO SUPERIOR POLITÉCNICO DON ALEXANDRE CARDEAL DO NASCIMENTO,Engemharia Informática,INSTITUTO SUPERIOR POLITÉCNICO DON ALEXANDRE CARDEAL DO NASCIMENTO
INSTITUTO SUPERIOR POLITÉCNICO ALVORECER DA JUVENTUDE,Ciências da Comunicação,INSTITUTO SUPERIOR POLITÉCNICO ALVORECER DA JUVENTUDE
INSTITUTO SUPERIOR POLITÉCNICO NELSON MANDELA,Engenharia e Gestão Industrial,INSTITUTO SUPERIOR POLITÉCNICO NELSON MANDELA
INSTITUTO SUPERIOR TÉCNICO DE ANGOLA,Gestão de Marketing,INSTITUTO SUPERIOR TÉCNICO DE ANGOLA
INSTITUTO SUPERIOR POLITÉCNICO KALANDULA ,Medicina Dentária,INSTITUTO SUPERIOR POLITÉCNICO KALANDULA 
INSTITUTO SUPERIOR POLITÉCNICO KATANGOJI ,Medicina,INSTITUTO SUPERIOR POLITÉCNICO KATANGOJI 
INSTITUTO SUPERIOR POLITÉCNICO DO ZANGO,Ciências Farmacêuticas,INSTITUTO SUPERIOR POLITÉCNICO DO ZANGO
INSTITUTO SUPERIOR POLITÉCNICO DE BENGUELA,Economia e Gestão,INSTITUTO SUPERIOR POLITÉCNICO DE BENGUELA
UNIVERSIDADE JOSÉ EDUARDO DOS SANTOS,Engenharia de Pesquisa e Produção de Petróleos,—
INSTITUTO SUPERIOR DE CIÊNCIAS E RELAÇÕES INTERNACIONAIS,Engenharia Informática de Gestão,INSTITUTO SUPERIOR DE CIÊNCIAS E RELAÇÕES INTERNACIONAIS
INSTITUTO SUPERIOR POLITÉCNICO DE KANGONJO,Enge. Informática de Gestão,INSTITUTO SUPERIOR POLITÉCNICO DE KANGONJO
UNIVERSIDADE LUEJI A´NKONDE ,Engenharia de Geologia e Minas,—
INSTITUTO SUPERIOR POLITÉCNICO CRESCENTE,Administração de Empresas,INSTITUTO SUPERIOR POLITÉCNICO CRESCENTE
UNIVERSIDADE PRIVADA DE ANGOLA,Jornalismo,—
INSTITUTO SUPERIOR POLITÉCNICO TOCOÍSTA,Engenharia em Geologia e Minas,INSTITUTO SUPERIOR POLITÉCNICO TOCOÍSTA
UNIVERSIDADE AGOSTINHO NETO,Planeamento Regional e Urbano,—
INSTITUTO SUPERIOR POLITÉCNICO ATLÂNTIDA,Ciências da Computação,INSTITUTO SUPERIOR POLITÉCNICO ATLÂNTIDA
INSTITUTO SUPERIOR DE ANGOLA,Engenharia do Ambiente,INSTITUTO SUPERIOR DE ANGOLA
INSTITUTO SUPERIOR POLITÉCNICO PRIVADO DO KILAMBA,Contabilidade,INSTITUTO SUPERIOR POLITÉCNICO PRIVADO DO KILAMBA
INSTITUTO SUPERIOR DE CIÊNCIAS DE EDUCAÇÃO DO UÍGE,Eng. Produção Industrial,INSTITUTO SUPERIOR DE CIÊNCIAS DE EDUCAÇÃO DO UÍGE
INSTITUTO SUPERIOR DE CIÊNCIAS DE EDUCAÇÃO DA HUÍLA,Eng. Química,INSTITUTO SUPERIOR DE CIÊNCIAS DE EDUCAÇÃO DA HUÍLA
INSTITUTO SUPERIOR POLITÉCNICO DO BIÉ,Engenharia de Petróleos,INSTITUTO SUPERIOR POLITÉCNICO DO BIÉ
INSTITUTO SUPERIOR POLITÉCNICO DO BENGO,Engenharia Mecânica ,INSTITUTO SUPERIOR POLITÉCNICO DO BENGO
INSTITUTO SUPERIOR POLITÉCNICO PRIVADO WALINGA DO MOXICO,Engenharia Quimica,INSTITUTO SUPERIOR POLITÉCNICO PRIVADO WALINGA DO MOXICO
 UNIVERSIDADE MANDUME YA NDEMUFAYO,Engenharia Química,—
UNIVERSIDADE DO NAMIBE,Engenharia Electrotécnica,—
INSTITUTO SUPERIOR POLITÉCNICO PRIVADO DO ZAIRE,Engenharia Informática ,INSTITUTO SUPERIOR POLITÉCNICO PRIVADO DO ZAIRE
